,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,,,
1,0.549426334,0.045605666,0.029368809,0.046261724,0.055862498,0.070637189,0.202837778,1,15.55,28.65
2,0.572240729,0.044107226,0.028406871,0.044062185,0.053407793,0.068156256,0.189618941,1,14.9,27.55
3,0.583255157,0.043491368,0.027947225,0.043048995,0.052100855,0.066694964,0.183461436,1,14.45,28.35
4,0.62671047,0.038486567,0.023456339,0.037504905,0.042823749,0.053512994,0.177504976,1,14.15,28.8
5,0.644697332,0.037132111,0.022451669,0.035756104,0.040534246,0.05069257,0.168735969,1,13.75,28.05
6,0.643788465,0.038036488,0.023173946,0.036341065,0.041550967,0.052323651,0.164785419,1,13.35,28.45
7,0.660094722,0.034520061,0.020180496,0.033204893,0.036229284,0.044469342,0.171301202,1,13,29.15
8,0.656620338,0.033623193,0.018959327,0.032361827,0.033797726,0.040597491,0.184040097,1,13.45,27.5
9,0.715240722,0.02874456,0.016041433,0.026981229,0.028079082,0.033975199,0.150937774,1,13.6,26.5
10,0.730173417,0.027819986,0.015523128,0.025846955,0.026954149,0.032751753,0.140930613,1,12.8,27.35
11,0.715136177,0.029998119,0.01705878,0.027897337,0.029688866,0.03640988,0.143810841,1,12.4,27.85
12,0.710415026,0.030783583,0.017600121,0.028590739,0.030601452,0.037643651,0.144365426,1,12.3,28.4
13,0.649755553,0.031687989,0.016383719,0.029974582,0.028304762,0.032658563,0.211234832,1,12.2,28.65
14,0.715453959,0.02679042,0.014073297,0.025019373,0.024276591,0.028481424,0.165904936,1,13.4,25.1
15,0.720596636,0.02711401,0.014608945,0.025383393,0.025372103,0.030150648,0.156774266,1,12.95,25.95
16,0.802287975,0.019579628,0.010165074,0.017702124,0.017149694,0.020307285,0.112808221,1,12.9,26.5
17,0.790682762,0.021874499,0.011617061,0.019652443,0.019530584,0.023427621,0.11321503,1,11.85,27
18,0.762002276,0.025669864,0.013942792,0.023087457,0.023468532,0.028424975,0.123404103,1,11.35,28
19,0.827731183,0.017478289,0.008965617,0.015544758,0.014918603,0.017666996,0.097694554,1,11.15,28.7
20,0.838315637,0.016751492,0.008506765,0.014708724,0.013994804,0.016559408,0.09116317,1,11.25,27.4
21,0.808345724,0.020571218,0.01065802,0.018069588,0.017536865,0.020922809,0.103895776,1,10.75,27.7
22,0.821940269,0.019505268,0.009777687,0.016733007,0.01572946,0.018596411,0.097717899,1,10.5,28.35
23,0.886691178,0.011508216,0.005572818,0.009880727,0.008983836,0.010478617,0.066884608,1,9.65,28.45
24,0.900671061,0.009556592,0.004564111,0.008258359,0.007391795,0.008554892,0.061003191,1,10.25,27.25
25,0.834122557,0.015740266,0.007827185,0.014046323,0.013016888,0.015169479,0.100077303,1,10.75,26.55
26,0.851064783,0.013629411,0.006569194,0.012045335,0.010810404,0.012458105,0.093422767,1,11.7,26.35
27,0.809624009,0.016181455,0.007544805,0.014309098,0.012345869,0.013992292,0.126002471,1,11.6,25.9
28,0.66633061,0.026283818,0.012033913,0.023679773,0.019741083,0.021946856,0.229983946,1,11.9,25.05
29,0.781110196,0.017471363,0.007863395,0.015324371,0.012723733,0.014226749,0.151280192,1,12.6,24.05
30,0.899595911,0.008515726,0.003822321,0.007298498,0.00611506,0.00690175,0.067750735,1,11.9,24.5
31,0.948253289,0.004343529,0.00188557,0.003638131,0.00296468,0.003326119,0.035588682,1,11.1,25.2
32,0.963996789,0.003309052,0.001473085,0.002761382,0.002315783,0.00262942,0.023514489,1,10.55,25.15
33,0.946337685,0.005293905,0.002372456,0.004366939,0.003696879,0.004221257,0.03371088,1,10.05,25.95
34,0.905642596,0.009762728,0.004529918,0.008135145,0.00711484,0.008213271,0.056601501,1,9.35,26.6
35,0.869027907,0.014035911,0.00668031,0.011769303,0.010539406,0.012266335,0.07568083,1,9.3,27.25
36,0.808375228,0.022132246,0.010123972,0.017871137,0.015406104,0.01774703,0.108344283,1,9.2,27.8
37,0.885660698,0.012235059,0.005568026,0.01000879,0.008602093,0.00988883,0.068036504,1,7.5,28.25
38,0.908993566,0.009514468,0.00422592,0.007713548,0.006485498,0.007403845,0.055663154,1,8.55,27.45
39,0.886076263,0.012220824,0.005382837,0.009811296,0.008188255,0.009332286,0.068988239,1,8.5,27.05
40,0.89826803,0.010726334,0.004583949,0.008493662,0.006901632,0.007802806,0.063223587,1,8.05,27.2
41,0.843092387,0.017547419,0.007617221,0.013866807,0.011418484,0.012969267,0.093488415,1,7.85,26.8
42,0.83626291,0.018201352,0.007537052,0.014035363,0.011091997,0.012447076,0.10042425,1,7.3,27.4
43,0.85967958,0.015121586,0.006170586,0.011625406,0.009074735,0.010144934,0.088183173,1,6.8,26.85
44,0.901768647,0.010145851,0.004164049,0.007879204,0.006180559,0.00691572,0.06294597,1,7,26.5
45,0.951121908,0.004826334,0.002054984,0.003859272,0.003123126,0.003522185,0.031492193,1,7.55,26.3
46,0.981748678,0.001702777,0.000718174,0.00136794,0.001095944,0.001230698,0.012135789,1,8.55,26.3
47,0.977450959,0.002094322,0.000857791,0.001653295,0.001291638,0.001440723,0.015211272,1,9,25.85
48,0.993511801,0.000579646,0.000244078,0.000468989,0.000374438,0.000419483,0.004401565,1,8.6,25.65
49,0.976698008,0.002041843,0.000798777,0.001580833,0.001185919,0.001307211,0.016387409,1,9.4,25.55
50,0.983147095,0.001363917,0.000525632,0.001058248,0.000781415,0.000856325,0.012267368,1,8.45,25.05
51,0.989180657,0.000862365,0.000347008,0.000690853,0.000527546,0.000582283,0.007809288,1,8.85,24.6
52,0.916797938,0.006239349,0.00256528,0.005142102,0.00396976,0.004376593,0.060908979,1,9.65,24.7
53,0.822298131,0.012487065,0.005114555,0.010420284,0.007952991,0.008707607,0.133019368,1,10.55,24.35
54,0.822733428,0.01145285,0.004439136,0.009267661,0.006749233,0.007308002,0.138049691,1,11.05,23.9
55,0.850495443,0.009347757,0.0033681,0.007170606,0.004950876,0.005308772,0.119358446,1,10.55,23.55
56,0.936179791,0.004527105,0.001682856,0.003492253,0.002488101,0.002694892,0.048935001,1,9.45,23.35
57,0.907170808,0.006971689,0.002500028,0.005210818,0.003621869,0.003906299,0.070618489,1,9.2,23.9
58,0.888472598,0.010184032,0.003749687,0.007555007,0.005400086,0.005882709,0.078755881,1,8.35,23.9
59,0.905681215,0.009178679,0.003550576,0.006950958,0.005181589,0.005712545,0.063744438,1,7.35,24.75
60,0.84036084,0.016781104,0.006457505,0.012532909,0.009309316,0.0102611,0.104297227,1,7.4,25.45
61,0.800162586,0.022069616,0.008509986,0.016386719,0.012191076,0.013446821,0.127233195,1,6.6,25.75
62,0.768531692,0.027281459,0.011051343,0.020597333,0.015953628,0.017801143,0.138783401,1,6.1,26
63,0.764412085,0.026553779,0.009997489,0.019407711,0.01415302,0.015524917,0.149950998,1,5.8,26.95
64,0.740080643,0.030447797,0.011585313,0.022261276,0.016365715,0.017992273,0.161266983,1,5.65,25.8
65,0.821075953,0.018624522,0.006966218,0.013708736,0.0099455,0.010890891,0.118788179,1,5.3,26.1
66,0.735662391,0.029521225,0.010666352,0.021127344,0.014899747,0.016194447,0.171928494,1,6.4,25.4
67,0.713276608,0.031236766,0.010865517,0.02196468,0.015027428,0.016200215,0.191428787,1,5.4,25.25
68,0.685519853,0.03658824,0.012888937,0.0257007,0.017753758,0.019188213,0.202360299,1,5.35,24.7
69,0.658062271,0.042468785,0.015285827,0.029923774,0.021000702,0.022788443,0.210470198,1,4.8,25.05
70,0.804970162,0.019414739,0.0069731,0.014046455,0.009855227,0.01069221,0.134048107,1,4.2,25.55
71,0.792432428,0.019520889,0.006794696,0.013964415,0.009546231,0.010282372,0.147458969,1,6.4,24.8
72,0.865373723,0.011574364,0.004117839,0.008473217,0.005881906,0.006354941,0.098224009,1,6.55,24.3
73,0.695664338,0.031900987,0.010737169,0.022127081,0.014748781,0.015789839,0.209031806,1,7.4,24.25
74,0.609252864,0.045826841,0.014907856,0.030827506,0.020010681,0.021275321,0.257898931,1,5.45,24.2
75,0.604238768,0.048167265,0.015878199,0.032495555,0.021300597,0.02270108,0.255218536,1,4.3,24
76,0.528017872,0.060253609,0.018466313,0.038927123,0.024136924,0.025355553,0.304842605,1,4,24.25
77,0.577357948,0.044849412,0.013713845,0.029482095,0.018257041,0.019181652,0.297158007,1,3.35,23.3
78,0.531842839,0.052952023,0.015713006,0.034043543,0.020622372,0.021547679,0.323278538,1,4.85,23.05
79,0.663959628,0.0317952,0.010170051,0.021663577,0.013864093,0.014683488,0.243863964,1,4.3,22.75
80,0.68099772,0.030336596,0.009826452,0.020806484,0.01344638,0.014276677,0.230309691,1,5.85,23.4
81,0.82642955,0.013674741,0.004690608,0.009885392,0.00664936,0.007120374,0.131549974,1,5.9,23.55
82,0.716809988,0.022973143,0.007444098,0.016001565,0.010308858,0.010925919,0.215536429,1,7.55,23.7
83,0.748688915,0.01780822,0.005843199,0.01265642,0.008197601,0.008688062,0.198117583,1,6.85,23.25
84,0.620705235,0.027601625,0.008466046,0.018786479,0.011574579,0.012125403,0.300740632,1,7.65,23.1
85,0.591234349,0.034812935,0.010501677,0.023164677,0.014151532,0.014809072,0.311325758,1,6.95,22.55
86,0.566045566,0.04086689,0.012184894,0.02678443,0.016251977,0.016985415,0.320880828,1,6.1,22.6
87,0.493999625,0.053085689,0.015022959,0.033499379,0.019587036,0.020290405,0.364514907,1,5.5,22.6
88,0.456169921,0.065202321,0.01795808,0.040077175,0.023000029,0.02371581,0.373876664,1,4.7,22.1
89,0.418612395,0.06063029,0.015888674,0.036731803,0.020320072,0.020774737,0.427042029,7,3.8,21.85
90,0.359160804,0.074350713,0.018030395,0.042864259,0.022495103,0.022720768,0.460377958,7,4.65,21.2
91,0.347182363,0.059153848,0.014471454,0.034907315,0.018348692,0.018537113,0.507399214,7,4.15,20.35
92,0.372590663,0.052868817,0.013413908,0.031978269,0.017218431,0.017487937,0.494441975,7,5.3,20.4
93,0.503254348,0.042444033,0.012045348,0.027280077,0.015928891,0.016488393,0.38255891,1,5.6,20.75
94,0.513532411,0.036669826,0.010531255,0.023954045,0.014068417,0.014574668,0.386669378,1,5.8,21.95
95,0.399940118,0.040023495,0.010714501,0.025327628,0.014089442,0.014404926,0.49549989,7,6.4,21.95
96,0.524472999,0.028262156,0.008343671,0.019087334,0.011361602,0.011788735,0.396683504,1,6.55,21.15
97,0.447485615,0.030744155,0.008733699,0.020373894,0.01176915,0.012123373,0.468770114,7,7.45,21.95
98,0.370147764,0.029217639,0.008111932,0.019303935,0.01090833,0.011167996,0.551142404,7,7.4,21.55
99,0.280577318,0.030359709,0.00795071,0.019461171,0.010522714,0.010664727,0.640463652,7,7.75,21.2
100,0.225979199,0.039845277,0.009368889,0.023794324,0.011988032,0.011975846,0.677048433,7,7.65,20.65
101,0.273870106,0.043842187,0.010576469,0.026330874,0.013566084,0.013627254,0.618187026,7,6.95,19.8
102,0.307965319,0.050752324,0.012267493,0.030171329,0.015646055,0.01575007,0.56744741,7,6.6,20.1
103,0.288482232,0.064033945,0.014547389,0.036349498,0.018146432,0.018122858,0.560317647,7,6.05,20.2
104,0.254939282,0.070907168,0.015121896,0.038802795,0.018577592,0.018387179,0.583264088,7,5.4,19.65
105,0.202588116,0.073340593,0.014290962,0.038438089,0.017291625,0.016889129,0.637161487,7,5.35,19.05
106,0.215443746,0.054251197,0.011687924,0.030449538,0.014548828,0.014382623,0.659236143,7,5.8,18.25
107,0.164121998,0.04287666,0.00910491,0.024269039,0.011378942,0.011192847,0.737055604,7,6.3,19.1
108,0.127441012,0.050428054,0.009464264,0.026729425,0.011518351,0.011135033,0.763283862,7,7,18.9
109,0.120696643,0.041945939,0.008209928,0.022899394,0.010104803,0.00981065,0.786332644,7,7.15,17.9
110,0.160446641,0.022779435,0.005693001,0.0144749,0.007485932,0.00749888,0.781621211,7,7.35,18.2
111,0.099852154,0.019126228,0.004477505,0.011801048,0.005797226,0.005740244,0.853205594,7,8.2,20.05
112,0.066387756,0.019918594,0.004143307,0.011564288,0.005213455,0.005070729,0.887701872,7,8.3,19.45
113,0.043507025,0.011351018,0.0024923,0.006876837,0.003187478,0.003112798,0.929472543,7,8.3,18.5
114,0.027592851,0.00955163,0.001959027,0.005647657,0.002469181,0.002380314,0.95039934,7,8.75,18.8
115,0.027380503,0.011972404,0.002315496,0.006946899,0.002882432,0.002747263,0.945755003,7,9.05,18.2
116,0.042440791,0.018747333,0.003535872,0.010545679,0.004366358,0.004168006,0.91619596,7,9.35,17.7
117,0.068036011,0.03621395,0.006299824,0.019152776,0.007619861,0.007231694,0.855445885,7,8.9,17.65
118,0.033138126,0.018572369,0.003444573,0.010879237,0.004254229,0.003996391,0.925715074,7,8.45,17.2
119,0.048144688,0.033348834,0.005866828,0.019358493,0.007156957,0.006643841,0.879480359,7,10.05,17.2
120,0.264563948,0.022914904,0.006364013,0.015464576,0.008631365,0.008787747,0.673273447,7,10.4,16.75
121,0.349755082,0.023566998,0.006827119,0.016227412,0.009368446,0.00961443,0.584640512,7,8.6,20.9
122,0.502152949,0.022456499,0.006889057,0.015850434,0.009600436,0.009970865,0.433079761,1,8.65,21.3
123,0.659025074,0.018420107,0.005964105,0.013298413,0.008434195,0.008864413,0.285993692,1,8.65,21.9
124,0.734555212,0.015003392,0.005049131,0.011079931,0.007240314,0.007662067,0.219409953,1,8.65,22.5
125,0.670446982,0.016784872,0.005853083,0.012889193,0.008568925,0.009069022,0.276387925,1,8.95,22.8
126,0.577624307,0.020023868,0.00639467,0.014479466,0.009037901,0.009448805,0.362990984,1,9.95,22.65
127,0.470429401,0.020809854,0.006683774,0.015366274,0.009527215,0.009911601,0.46727188,1,8.95,22.2
128,0.543631791,0.020901244,0.007311536,0.016353591,0.010775076,0.011334299,0.389692463,1,9.65,21.9
129,0.655291099,0.019090902,0.007144891,0.015436953,0.010785343,0.0115078,0.280743012,1,10.55,22.3
130,0.72698762,0.017894116,0.007219564,0.015003329,0.011209267,0.012162752,0.209523353,1,10.9,22.85
131,0.648265688,0.024155271,0.010167733,0.020956417,0.016118002,0.017539674,0.262797215,1,11.35,23.45
132,0.529521589,0.029606305,0.012073551,0.025729204,0.018969351,0.020311781,0.36378822,1,12.05,23.4
133,0.452940968,0.027313661,0.010155732,0.02265472,0.015396524,0.016187312,0.455351084,7,12.3,22.75
134,0.452154174,0.024331915,0.008641067,0.019514787,0.012856486,0.013463346,0.469038225,7,11.7,22.15
135,0.32760865,0.022874391,0.007576099,0.017743258,0.011004511,0.011363656,0.601829434,7,11.15,22.05
136,0.22828126,0.020745925,0.006576616,0.015849952,0.009424519,0.009626594,0.709495133,7,10.85,21.5
137,0.306209451,0.020542473,0.006214366,0.014791815,0.008704785,0.008938546,0.634598565,7,10.85,21.05
138,0.163460041,0.016174649,0.004663163,0.011511141,0.006456403,0.00654348,0.791191123,7,9.6,21.3
139,0.163498627,0.016763408,0.004662479,0.01156645,0.006367382,0.006441353,0.790700301,7,9.85,20.7
140,0.051376649,0.00885244,0.00220345,0.005794045,0.002918992,0.002895299,0.925959125,7,9.35,20.6
141,0.040766205,0.006677861,0.001752458,0.004585117,0.002365024,0.002349465,0.941503869,7,9.25,19.65
142,0.106495805,0.01393115,0.004066791,0.010270328,0.005679883,0.005705664,0.853850379,7,9.95,19.8
143,0.175846549,0.020861854,0.006579502,0.016192378,0.009433858,0.009551511,0.761534348,7,10.7,20.35
144,0.340725971,0.032745436,0.012177097,0.027889872,0.018521159,0.019211226,0.548729238,7,11.3,20.7
145,0.302347902,0.040104688,0.015456884,0.035685296,0.023849335,0.024541615,0.55801428,7,12.35,21.6
146,0.236926561,0.037149098,0.013315858,0.03213143,0.019991703,0.020238728,0.640246622,7,13.1,21.3
147,0.126300427,0.023571399,0.007279864,0.018758992,0.010379773,0.01030697,0.803402574,7,12.85,20.75
148,0.06257809,0.010961585,0.003087762,0.008072143,0.004271516,0.004237096,0.906791809,7,12,20
149,0.003751803,0.000940225,0.000229133,0.000635219,0.000303536,0.000295845,0.993844239,7,11,19.85
150,0.001161224,0.000335246,7.61E-05,0.000215282,9.87E-05,9.57E-05,0.998017778,7,10.35,19
151,0.010537807,0.003982078,0.000879979,0.002606084,0.001135996,0.001085033,0.979773023,7,9.9,18.65
152,0.033390934,0.012487243,0.002985606,0.008804014,0.003935876,0.003753781,0.934642547,7,10.6,18.15
153,0.046567459,0.011356242,0.003068363,0.008387799,0.004193839,0.004093613,0.922332685,7,11.4,18.3
154,0.085288166,0.028120169,0.007786722,0.02206247,0.010695478,0.010268909,0.835778086,7,11.4,19.25
155,0.150379709,0.035372131,0.011401605,0.029749579,0.016463006,0.016190686,0.740443283,7,12.35,18.8
156,0.067361456,0.029218713,0.007250262,0.021837662,0.009629291,0.009090686,0.85561193,7,12.8,19.75
157,0.035064785,0.018156648,0.00376562,0.011825082,0.004778433,0.004484532,0.9219249,7,12.15,18.1
158,0.066457989,0.040497302,0.008719862,0.028341276,0.011123422,0.010300712,0.834559436,7,11.05,17.5
159,0.074010911,0.041495963,0.009548014,0.030403243,0.012382848,0.011505385,0.820653637,7,11.95,17.25
160,0.10234165,0.063241468,0.015612568,0.05040957,0.020485327,0.018836297,0.729073119,7,12.25,17.5
161,0.133253999,0.06555456,0.019406703,0.057904456,0.02683181,0.025017717,0.672030755,7,13.05,17.4
162,0.135634908,0.053946139,0.01648611,0.046984286,0.023175372,0.021979533,0.701793652,7,13.75,18.15
163,0.161729588,0.05228369,0.017386543,0.046805319,0.025210773,0.024321694,0.672262392,7,13.5,18.65
164,0.204528557,0.05490892,0.020275011,0.051238768,0.0305698,0.030049461,0.608429484,7,13.65,19.25
165,0.165677732,0.091591056,0.032905419,0.095085949,0.04757523,0.043728939,0.523435674,7,14,19.9
166,0.146323196,0.115771765,0.038659885,0.125268998,0.053109298,0.046919946,0.473946913,7,15.2,18.2
167,0.123517464,0.090505121,0.023781322,0.079260697,0.031312373,0.028274758,0.623348266,7,15.5,17.15
168,0.11686562,0.102207101,0.024476977,0.086400989,0.031299662,0.02793457,0.610815082,7,13.9,17.1
169,0.083886483,0.073445896,0.01405243,0.049757002,0.017314897,0.015685264,0.745858029,7,13.75,16.6
170,0.112878001,0.244158869,0.022471514,0.083083232,0.024040962,0.021673383,0.491694039,7,12.15,16.4
171,0.10082448,0.277258499,0.022904356,0.091834217,0.024256114,0.021537831,0.461384503,7,7.8,13.7
172,0.093387633,0.347668258,0.024136541,0.102045652,0.024956389,0.021920086,0.385885441,7,8.85,13.35
173,0.080241668,0.426190675,0.024358973,0.112897451,0.02459335,0.021248226,0.310469656,2,9,12.7
174,0.103532107,0.318663779,0.024195687,0.095081129,0.025196465,0.022413251,0.410917581,7,9.7,12.1
175,0.110500814,0.283749851,0.023776864,0.089719326,0.025049862,0.022463316,0.444739967,7,8.05,12.9
176,0.119910054,0.285336968,0.024959251,0.089848916,0.026224209,0.02368795,0.430032651,7,7.7,13.25
177,0.124966536,0.265679076,0.024705552,0.08693274,0.02615312,0.023739033,0.447823942,7,6.8,13.2
178,0.11862431,0.332051342,0.026927122,0.096639494,0.027726197,0.024969117,0.373062418,7,6.6,13.45
179,0.13205453,0.303275201,0.027896172,0.094762695,0.028975033,0.026351693,0.386684675,7,6.2,12.55
180,0.120101923,0.347729458,0.028113349,0.099333573,0.028701377,0.025863039,0.350157281,7,5.4,12.85
181,0.120745301,0.363462591,0.029361061,0.102214462,0.02969636,0.026762468,0.327757757,2,5.7,12.25
182,0.113239328,0.398557309,0.029765376,0.105227715,0.029652997,0.026579068,0.296978207,2,5.2,11.9
183,0.102772028,0.428054258,0.028280155,0.10474343,0.028000028,0.024911202,0.283238899,2,5.15,11.35
184,0.108176955,0.392602422,0.027723239,0.102194111,0.027876256,0.024895209,0.316531808,2,5.85,11.2
185,0.1070304,0.35913173,0.025950546,0.09845458,0.02654384,0.023681029,0.359207874,7,6.1,11.75
186,0.107884542,0.350907634,0.025792508,0.097685123,0.026465352,0.023629161,0.367635679,7,7,12.35
187,0.100024385,0.35722427,0.024825966,0.098858726,0.02550127,0.022598681,0.370966702,7,7.05,12.45
188,0.088511589,0.409799916,0.024517881,0.104340082,0.024814992,0.021729165,0.326286375,2,7.9,12.5
189,0.090940943,0.423319405,0.025049382,0.10290727,0.025171698,0.02213661,0.310474691,2,8.55,12.1
190,0.100131709,0.397283725,0.026022416,0.101212499,0.026276738,0.023308453,0.32576446,2,7.85,11.85
191,0.095320276,0.433607897,0.026296786,0.102973996,0.026191028,0.02315552,0.292454498,2,7.1,11.95
192,0.086314955,0.48555679,0.025958399,0.103764795,0.025380486,0.022301743,0.250722832,2,6.9,11.5
193,0.08856034,0.485318017,0.026794044,0.10460057,0.026089081,0.022975107,0.245662841,2,6.85,10.9
194,0.08880029,0.495196771,0.027737822,0.106044597,0.026756636,0.023577456,0.231886428,2,6.4,10.7
195,0.081734528,0.520632978,0.026310065,0.104225941,0.025278101,0.022159549,0.219658838,2,5.9,10.3
196,0.07045297,0.567923038,0.024123118,0.10083492,0.022951796,0.01995087,0.193763288,2,6.4,10.25
197,0.073919697,0.542191349,0.024203981,0.101858712,0.023314579,0.020296812,0.21421487,2,7.05,10.05
